zip_code,Studio,One-Bedroom,Two-Bedroom,Three-Bedroom,Four-Bedroom
16038,860,930,1150,1450,1600
16039,980,1050,1260,1610,1730
16040,850,910,1100,1400,1530
16041,800,860,1050,1340,1460
16045,1050,1130,1350,1720,1850
16046,1500,1600,1920,2450,2640
16048,900,970,1160,1480,1590
16049,700,730,920,1150,1380
16050,900,970,1160,1480,1590
16051,670,730,910,1210,1330
16052,970,1030,1240,1580,1700
16053,730,780,930,1190,1280
16055,990,1060,1270,1620,1750
16056,910,980,1170,1490,1610
16057,880,950,1140,1460,1580
16059,1500,1600,1920,2450,2640
16061,920,980,1180,1500,1620
16063,980,1050,1260,1610,1730
16066,1440,1540,1850,2360,2540
16115,780,830,1000,1280,1370
16117,690,740,950,1290,1440
16120,630,700,910,1270,1430
16123,960,1030,1240,1590,1720
16127,730,740,930,1290,1410
16136,800,850,1020,1300,1400
16141,740,800,1000,1330,1480
16157,640,700,910,1250,1410
16229,730,800,1030,1310,1480
16373,720,760,920,1160,1350
